Year,Player,Pos,TRB,AST,PTS,PPG,RPG,APG,
1963,Johnny Egan,PG,59,114,273,6,1,2,
1963,Leroy Ellis,C,518,46,577,7,6,1,
1963,Wayne Embry*,C,936,177,1411,19,12,2,
1963,Mike Farmer,SF,369,143,595,7,5,2,
1963,Dave Fedor,F,6,1,6,1,1,0,
1963,Al Ferrari,G-F,12,14,38,2,1,1,
1963,Bob Ferry,C,537,170,1072,14,7,2,
1963,Jack Foley,F,16,5,53,5,1,0,
1963,Jack Foley,F,7,0,32,6,1,0,
1963,Jack Foley,F,9,5,21,4,2,1,
1963,Dave Gambee,SF,289,48,669,11,5,1,
1963,Tom Gola*,SF-SG,517,298,896,12,7,4,
1963,Tom Gola*,SG,148,73,272,13,7,3,
1963,Tom Gola*,SF,369,225,624,12,7,4,
1963,Johnny Green,PF,964,152,1444,18,12,2,
1963,Si Green,PG,335,422,853,12,5,6,
1963,Hal Greer*,SG,457,275,1562,20,6,3,
1963,Gene Guarilia,SF,14,2,26,2,1,0,
1963,Richie Guerin*,SG,331,348,1701,22,4,4,
1963,Dave Gunther,F,3,3,2,2,3,3,
1963,Cliff Hagan*,SF,341,193,1226,16,4,2,
1963,Charlie Hardnett,PF,602,74,827,11,8,1,
1963,John Havlicek*,SF,534,179,1140,14,7,2,
1963,Tom Hawkins,SF,543,100,745,9,7,1,
1963,Tom Heinsohn*,PF,569,95,1440,19,7,1,
1963,Wayne Hightower,PF,354,51,489,7,5,1,
1963,Paul Hogue,C,430,42,383,8,9,1,
1963,Ron Horn,SF,71,10,74,3,3,0,
1963,Bailey Howell*,SF,910,232,1793,23,12,3,
1963,Hot Rod,SG,106,151,260,4,2,2,
1963,Darrall Imhoff,C,155,28,120,3,3,1,
1963,Howie Jolliff,PF,62,20,36,1,2,1,
1963,K.C. Jones*,PG,263,317,572,7,3,4,
1963,Sam Jones*,SG,396,241,1499,20,5,3,
1963,Willie Jones,PG,233,188,728,9,3,2,
1963,Phil Jordon,C,319,103,478,7,4,1,
1963,Red Kerr,C,1039,214,1255,16,13,3,
1963,Maury King,PG,102,142,216,6,3,4,
1963,Jim Krebs,C,502,87,659,8,6,1,
1963,Fred LaCour,G-F,24,19,65,4,2,1,
1963,Rudy LaRusso,PF,747,187,924,12,10,2,
1963,George Lee,SG,217,64,450,7,3,1,
1963,Slick Leonard*,PG,68,143,227,7,2,4,
1963,Jim Loscutoff,SF,157,25,210,3,2,0,
1963,Kevin Loughery,SG,109,104,363,6,2,2,
1963,Clyde Lovellette*,C,177,27,395,6,3,0,
1963,Ted Luckenbill,PF,56,8,61,3,3,0,
1963,Nick Mantis,SG,85,83,215,5,2,2,
1963,Nick Mantis,SG,6,7,19,2,1,1,
1963,Nick Mantis,SG,79,76,196,6,2,2,
1963,Bill McGill,C,161,38,442,7,3,1,
1963,Porter Meriwether,PG,29,43,119,4,1,1,
1963,Tom Meschery,PF,624,104,1022,16,10,2,
1963,Howie Montgomery,SF,69,21,144,7,3,1,
1963,Jackie Moreland,PF,449,114,687,9,6,1,
1963,Willie Naulls,SF,515,102,906,13,7,1,
1963,Willie Naulls,SF,200,44,388,17,9,2,
1963,Willie Naulls,SF,315,58,518,11,7,1,
1963,Don Nelson*,SF,279,72,419,7,5,1,
1963,Paul Neumann,PG,200,227,655,8,3,3,
1963,Bevo Nordmann,C,316,47,371,7,6,1,
1963,Bevo Nordmann,C,85,8,93,3,3,0,
1963,Bevo Nordmann,C,231,39,278,11,9,2,
1963,Mel Nowell,SG,67,84,232,6,2,2,
1963,Don Ohl,SG,239,325,1547,19,3,4,
1963,Bud Olsen,PF,105,42,113,2,2,1,
1963,Bob Pettit*,PF,1191,245,2241,28,15,3,
1963,Gary Phillips,SG,225,137,609,8,3,2,
1963,Dave Piontek,SF,96,26,130,3,2,1,
1963,Frank Ramsey*,SG,288,95,839,11,4,1,
1963,Hub Reed,C,398,83,472,6,5,1,
1963,Joe Roberts,PF,155,16,181,5,5,0,
1963,Oscar Robertson*,PG,835,758,2264,28,10,9,
1963,Guy Rodgers*,PG,394,825,1098,14,5,10,
1963,John Rudometkin,SF,149,30,289,5,3,1,
1963,Bill Russell*,C,1843,348,1309,17,24,4,
1963,Tom Sanders*,SF,576,95,864,11,7,1,
1963,Woody Sauldsberry,PF,447,78,839,11,6,1,
1963,Woody Sauldsberry,F-C,367,66,697,13,7,1,
1963,Woody Sauldsberry,PF,80,12,142,6,3,1,
1963,Dolph Schayes*,PF,375,175,627,10,6,3,
1963,Ray Scott,PF,772,191,1228,16,10,3,
1963,Kenny Sears,SF,206,95,453,6,3,1,
1963,Kenny Sears,F,67,40,122,5,3,2,
1963,Kenny Sears,SF,139,55,331,6,3,1,
1963,Frank Selvy,SG,289,281,826,10,4,4,
1963,Lee Shaffer,SF,524,97,1488,19,7,1,
1963,Gene Shue,PG,191,259,916,12,2,3,
1963,Jeff Slade,F,7,0,4,1,2,0,
1963,Adrian Smith,SG,174,141,705,9,2,2,
1963,Larry Staverman,PF,158,43,237,7,5,1,
1963,Tom Stith,SF,39,18,77,3,2,1,
1963,Dan Swartz,SF,88,21,175,4,2,1,
1963,Dan Tieman,PG,22,27,34,1,1,1,
1963,Gene Tormohlen,C,15,5,12,2,2,1,
1963,Jack Twyman*,SF,598,214,1586,20,7,3,
1963,Chico Vaughn,SG,258,252,778,10,3,3,
1963,Chet Walker*,SF,561,83,957,12,7,1,
1963,Ben Warley,PF,86,4,125,5,3,0,
1963,Ralph Wells,G,6,7,2,1,2,2,
1963,Jerry West*,PG,384,307,1489,27,7,6,
1963,Hubie White,SG,35,28,92,3,1,1,
1963,Gene Wiley,C,504,40,241,3,7,1,
1963,Lenny Wilkens*,PG,403,381,888,12,5,5,
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
1964,Jay Arnette,PG,54,71,184,4,1,1,
1964,Al Attles,PG,236,197,763,11,3,3,
1964,Dick Barnett,SG,250,238,1433,18,3,3,
1964,John Barnhill,SG,157,145,486,7,2,2,
1964,Elgin Baylor*,SF,936,347,1983,25,12,4,
1964,Zelmo Beaty*,C,633,79,774,13,11,1,
1964,Walt Bellamy*,C,1361,126,2159,27,17,2,
1964,Al Bianchi,PG,147,149,623,8,2,2,
1964,Bucky Bockhorn,SG,205,173,580,8,3,2,
1964,Bob Boozer,SF,596,96,1208,15,7,1,
1964,Bob Boozer,SF,178,33,352,11,6,1,
1964,Bob Boozer,SF,418,63,856,17,9,1,
1964,Bill Bridges,PF,680,181,682,9,9,2,
1964,Dave Budd,SF,276,57,340,5,4,1,
1964,Donnie Butcher,PG,329,244,563,7,4,3,
1964,Donnie Butcher,G,67,66,116,4,3,3,
1964,Donnie Butcher,PG,262,178,447,9,5,3,
1964,Al Butler,PG,168,157,658,9,2,2,
1964,Barney Cable,SF,301,47,260,4,4,1,
1964,Wilt Chamberlain*,C,1787,403,2948,37,22,5,
1964,Len Chappell,PF,771,83,1350,17,10,1,
1964,Len Chappell,F-C,4,0,1,1,4,0,
1964,Len Chappell,PF,767,83,1349,17,10,1,
1964,Larry Comley,G,19,12,25,2,2,1,
1964,Gene Conley,PF,156,21,192,4,3,0,
1964,Larry Costello,PG,105,167,529,12,2,4,
1964,Dave DeBusschere*,SF,105,23,129,9,7,2,
1964,Connie Dierking,C,422,50,496,7,6,1,
1964,Terry Dischinger,SF,667,157,1662,21,8,2,
1964,Bob Duffy,PG,61,79,232,5,1,2,
1964,Bob Duffy,PG,1,0,2,1,1,0,
1964,Bob Duffy,PG,6,5,16,4,2,1,
1964,Bob Duffy,PG,54,74,214,5,1,2,
1964,Johnny Egan,PG,191,358,861,13,3,5,
1964,Johnny Egan,PG,62,116,267,11,3,5,
1964,Johnny Egan,PG,129,242,594,14,3,6,
1964,Leroy Ellis,C,498,41,512,7,6,1,
1964,Wayne Embry*,C,925,113,1383,17,12,1,
1964,Mike Farmer,SF,225,109,424,6,3,1,
1964,Bob Ferry,C,428,94,782,11,6,1,
1964,Dave Gambee,SF,256,35,449,11,6,1,
1964,Mel Gibson,G,4,6,13,1,0,1,
1964,Tom Gola*,SG,469,257,670,9,6,3,
1964,Johnny Green,PF,799,157,1159,14,10,2,
1964,Si Green,PG,282,215,772,10,4,3,
1964,Jerry Greenspan,SG,72,11,98,5,4,1,
1964,Hal Greer*,SG,484,374,1865,23,6,5,
1964,Richie Guerin*,SG,256,375,1049,13,3,5,
1964,Richie Guerin*,SG,3,4,26,13,2,2,
1964,Richie Guerin*,SG,253,371,1023,13,3,5,
1964,Cliff Hagan*,SF,377,193,1413,18,5,3,
1964,Reggie Harding,C,410,52,429,11,11,1,
1964,Charlie Hardnett,PF,251,27,298,5,4,0,
1964,Jerry Harkness,PG,6,6,29,6,1,1,
1964,John Havlicek*,SF,428,238,1595,20,5,3,
1964,Tom Hawkins,SF,435,74,625,9,6,1,
1964,Tom Heinsohn*,PF,460,183,1257,17,6,2,
1964,Art Heyman,SG,298,256,1153,15,4,3,
1964,Wayne Hightower,PF,566,133,1046,13,7,2,
1964,Gary Hill,SG,114,103,343,5,2,2,
1964,Paul Hogue,C,31,6,26,2,2,0,
1964,Paul Hogue,C,15,5,19,3,3,1,
1964,Paul Hogue,C,16,1,7,1,2,0,
1964,Tom Hoover,C,331,36,285,5,6,1,
1964,Bailey Howell*,SF,776,205,1666,22,10,3,
1964,Darrall Imhoff,C,283,56,277,5,5,1,
1964,Gus Johnson*,PF,1064,169,1352,17,14,2,
1964,K.C. Jones*,PG,372,407,654,8,5,5,
1964,Sam Jones*,SG,349,202,1473,19,5,3,
1964,Willie Jones,PG,253,172,630,8,3,2,
1964,Red Kerr,C,1017,275,1340,17,13,3,
1964,Jim King,PG,113,110,234,4,2,2,
1964,Don Kojis,SF,309,57,488,6,4,1,
1964,Jim Krebs,C,283,49,333,5,4,1,
1964,Rudy LaRusso,PF,800,190,972,12,10,2,
1964,George Lee,SF,97,25,175,3,2,0,
1964,Jim Loscutoff,SF,131,25,130,2,2,0,
1964,Kevin Loughery,SG,138,182,598,9,2,3,
1964,Kevin Loughery,SG,0,0,2,2,0,0,
1964,Kevin Loughery,SG,138,182,596,9,2,3,
1964,Clyde Lovellette*,C,126,24,301,7,3,1,
1964,Jerry Lucas*,PF,1375,204,1400,18,17,3,
1964,Johnny McCarthy,PG,35,24,37,1,1,1,
1964,Bill McGill,C,414,121,1116,15,6,2,
1964,Bill McGill,C,16,0,31,5,3,0,
1964,Bill McGill,C,398,121,1085,16,6,2,
1964,Tom Meschery,SF,612,149,1079,13,8,2,
1964,Eddie Miles,SG,95,58,324,5,2,1,
1964,Jackie Moreland,PF,405,121,708,9,5,2,
1964,Willie Naulls,SF,356,64,767,10,5,1,
1964,Don Nelson*,SF,323,76,419,5,4,1,
1964,Paul Neumann,PG,246,291,858,12,3,4,
1964,Bevo Nordmann,C,65,5,63,3,3,0,
1964,Bevo Nordmann,C,25,1,34,5,4,0,
1964,Bevo Nordmann,C,40,4,29,2,3,0,
1964,Don Ohl,SG,180,225,1225,17,3,3,
1964,Bud Olsen,PF,149,29,202,4,3,1,
1964,Mel Peterson,G-F,1,0,2,1,1,0,
1964,Bob Pettit*,PF,1224,259,2190,27,15,3,
1964,Gary Phillips,SG,248,203,658,10,4,3,
1964,Frank Ramsey*,SG,223,81,648,9,3,1,
1964,Hub Reed,C,107,23,76,2,2,1,
1964,Oscar Robertson*,PG,783,868,2480,31,10,11,
1964,Guy Rodgers*,PG,328,556,872,11,4,7,
1964,Ken Rohloff,G,0,1,0,0,0,1,
1964,John Rudometkin,SF,164,26,395,8,3,1,
1964,Bill Russell*,C,1930,370,1168,15,25,5,
1964,Tom Sanders*,PF,667,102,911,11,8,1,
1964,Dolph Schayes*,PF,110,48,134,6,5,2,
1964,Ray Scott,PF,1078,244,1406,18,13,3,
1964,Kenny Sears,SF,94,42,170,3,2,1,
1964,Frank Selvy,SG,139,149,398,5,2,2,
1964,Lee Shaffer,SF,205,36,536,13,5,1,
1964,Gene Shue,PG,94,150,198,4,2,3,
1964,Larry Siegfried,SG,51,40,101,3,2,1,
1964,Adrian Smith,SG,147,145,622,9,2,2,
1964,Larry Staverman,PF,176,32,265,4,3,1,
1964,Larry Staverman,PF,13,2,16,3,2,0,
1964,Larry Staverman,PF,69,12,114,6,3,1,
1964,Larry Staverman,PF,94,18,135,4,3,1,
1964,Roger Strickland,F,0,0,2,2,0,0,
1964,Tom Thacker,PG,115,51,132,3,2,1,
1964,Rod Thorn,SG,360,281,1080,14,5,4,
1964,Nate Thurmond*,PF,790,86,533,7,10,1,
1964,Gene Tormohlen,C,216,50,210,4,4,1,
1964,Jack Twyman*,SF,364,137,1083,16,5,2,
1964,Chico Vaughn,SG,126,129,583,9,2,2,
1964,Chet Walker*,SF,784,124,1314,17,10,2,
1964,Gerry Ward,SG,21,21,43,2,1,1,
1964,Ben Warley,PF,619,71,650,8,8,1,
1964,Jerry West*,PG,433,403,2064,29,6,6,
1964,Hubie White,SG,42,12,79,3,2,1,
1964,Gene Wiley,C,510,44,337,4,7,1,
1964,Lenny Wilkens*,PG,335,359,938,12,4,5,
1964,John Windsor,PF,26,2,27,2,2,0,
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
1965,Jay Arnette,SG,62,68,238,4,1,1,
1965,Al Attles,PG,239,205,679,9,3,3,
1965,Jim Barnes,PF,729,93,1159,15,10,1,
1965,Dick Barnett,SG,200,159,1020,14,3,2,
1965,John Barnhill,SG,91,76,287,7,2,2,
1965,Elgin Baylor*,SF,950,280,2009,27,13,4,
1965,Zelmo Beaty*,C,966,111,1351,17,12,1,
1965,Walt Bellamy*,C,1166,191,1981,25,15,2,
1965,Al Bianchi,PG,95,140,404,7,2,2,
1965,Bucky Bockhorn,SG,55,45,148,8,3,2,
1965,Ron Bonham,SF,78,19,274,7,2,1,
1965,Bob Boozer,SF,604,108,1136,14,8,1,
1965,Gary Bradds,SF,84,19,137,3,2,0,
1965,Bill Bridges,PF,853,187,910,12,11,2,
1965,Em Bryant,PG,167,167,377,5,2,2,
1965,Dave Budd,SF,310,62,513,8,5,1,
1965,Ed Burton,F,13,2,18,3,2,0,
1965,Donnie Butcher,PG,200,122,412,6,3,2,
1965,Al Butler,PG,21,12,59,2,1,0,
1965,Joe Caldwell,SF,441,118,709,11,7,2,
1965,Wilt Chamberlain*,C,1673,250,2534,35,23,3,
1965,Wilt Chamberlain*,C,893,117,1480,39,24,3,
1965,Wilt Chamberlain*,C,780,133,1054,30,22,4,
1965,Len Chappell,C,140,15,358,8,3,0,
1965,Larry Costello,PG,169,275,861,13,3,4,
1965,Mel Counts,C,265,19,258,5,5,0,
1965,Steve Courtin,SG,22,22,101,4,1,1,
1965,Dave DeBusschere*,PF,874,253,1322,17,11,3,
1965,Connie Dierking,C,435,72,536,8,6,1,
1965,Connie Dierking,C,239,42,296,8,6,1,
1965,Connie Dierking,C,196,30,240,8,7,1,
1965,Terry Dischinger,SG,479,198,1456,18,6,2,
1965,Bob Duffy,PG,4,5,14,4,1,1,
1965,Johnny Egan,PG,143,252,678,9,2,3,
1965,Leroy Ellis,C,652,49,820,10,8,1,
1965,Wayne Embry*,C,741,92,943,13,10,1,
1965,Mike Farmer,SF,258,88,409,7,4,1,
1965,Bob Ferry,PF,355,60,408,5,5,1,
1965,Dave Gambee,SF,468,113,1011,13,6,1,
1965,Tom Gola*,SG,319,220,541,7,4,3,
1965,Johnny Green,PF,545,129,857,11,7,2,
1965,Si Green,PG,169,140,405,6,2,2,
1965,Jerry Greenspan,SG,11,0,24,5,2,0,
1965,Hal Greer*,SG,355,313,1413,20,5,4,
1965,Jerry Grote,G,4,4,14,1,0,0,
1965,Richie Guerin*,SG,149,271,821,14,3,5,
1965,Cliff Hagan*,SF,276,136,1000,13,4,2,
1965,Happy Hairston,PF,293,27,372,6,5,0,
1965,Reggie Harding,C,906,179,938,12,12,2,
1965,Charlie Hardnett,PF,77,2,73,4,4,0,
1965,John Havlicek*,SG,371,199,1375,18,5,3,
1965,Tom Hawkins,SF,475,80,556,7,6,1,
1965,Walt Hazzard,SG,111,140,280,4,2,2,
1965,Tom Heinsohn*,SF,399,157,912,14,6,2,
1965,Art Heyman,SG,99,79,316,6,2,1,
1965,Wayne Hightower,PF,420,54,587,8,6,1,
1965,Wayne Hightower,PF,247,38,405,8,5,1,
1965,Wayne Hightower,PF,173,16,182,7,6,1,
1965,Gary Hill,SG,16,7,27,2,1,1,
1965,Gary Hill,SG,15,6,27,3,2,1,
1965,Gary Hill,SG,1,1,0,0,0,0,
1965,Tom Hoover,C,58,12,34,1,2,1,
1965,Bailey Howell*,PF,869,208,1534,19,11,3,
1965,Les Hunter,PF,50,11,42,2,2,0,
1965,Darrall Imhoff,C,500,87,378,5,7,1,
1965,Luke Jackson,PF,980,93,1126,15,13,1,
1965,Gus Johnson*,SF,988,270,1415,19,13,4,
1965,K.C. Jones*,PG,318,437,649,8,4,6,
1965,Larry Jones,SG,57,40,131,6,2,2,
1965,Sam Jones*,SG,411,223,2070,26,5,3,
1965,Wali Jones,SG,140,200,407,5,2,3,
1965,Willie Jones,PG,10,7,44,4,1,1,
1965,Red Kerr,C,551,197,654,8,7,2,
1965,Jim King,PG,214,178,486,6,3,2,
1965,Don Kojis,SF,243,63,422,6,4,1,
1965,Howard Komives,PG,195,265,974,12,2,3,
1965,Bud Koper,SG,61,43,247,5,1,1,
1965,Barry Kramer,SF,100,41,186,4,2,1,
1965,Barry Kramer,SF,59,26,102,3,2,1,
1965,Barry Kramer,SF,41,15,84,4,2,1,
1965,Rudy LaRusso,PF,725,198,1083,14,9,3,
1965,George Lee,SF,55,12,92,5,3,1,
1965,Kevin Loughery,PG,235,296,1024,13,3,4,
1965,Jerry Lucas*,PF,1321,157,1414,21,20,2,
1965,Bill McGill,C,36,9,55,2,2,0,
1965,Bill McGill,C,24,6,40,3,2,0,
1965,Bill McGill,C,12,3,15,2,2,0,
1965,McCoy McLemore,SF,488,81,645,8,6,1,
1965,Tom Meschery,SF,655,106,1000,13,8,1,
1965,Eddie Miles,PG,258,157,1044,14,3,2,
1965,Jackie Moreland,PF,183,69,272,5,3,1,
1965,Jeff Mullins,SG,102,44,215,5,2,1,
1965,Cotton Nash,SF,83,19,137,3,2,0,
1965,Cotton Nash,SF,35,10,53,2,1,0,
1965,Cotton Nash,SF,48,9,84,4,2,0,
1965,Willie Naulls,SF,336,72,747,11,5,1,
1965,Don Nelson*,SF,73,24,92,2,2,1,
1965,Paul Neumann,PG,198,233,964,13,3,3,
1965,Paul Neumann,PG,102,139,574,14,3,3,
1965,Paul Neumann,PG,96,94,390,11,3,3,
1965,Bevo Nordmann,C,8,3,6,2,3,1,
1965,Don Ohl,SG,336,250,1420,18,4,3,
1965,Bud Olsen,PF,333,84,592,7,4,1,
1965,Bob Pettit*,PF,621,128,1124,22,12,3,
1965,Gary Phillips,SG,189,148,516,7,3,2,
1965,Hub Reed,C,206,38,208,3,3,1,
1965,Willis Reed*,C,1175,133,1560,20,15,2,
1965,Oscar Robertson*,PG,674,861,2279,30,9,11,
1965,Guy Rodgers*,SG,323,565,1153,15,4,7,
1965,John Rudometkin,SF,99,16,138,6,4,1,
1965,John Rudometkin,SF,7,0,6,6,7,0,
1965,John Rudometkin,SF,92,16,132,6,4,1,
1965,Bill Russell*,C,1878,410,1102,14,24,5,
1965,Tom Sanders*,PF,661,92,941,12,8,1,
1965,Ray Scott,PF,634,239,1024,16,10,4,
1965,Larry Siegfried,SG,134,119,455,6,2,2,
1965,Paul Silas,PF,576,48,363,5,7,1,
1965,Adrian Smith,SG,220,240,1210,15,3,3,
1965,Tom Thacker,PG,127,41,135,2,2,1,
1965,John Thompson*,PF,230,16,230,4,4,0,
1965,Rod Thorn,SG,266,161,816,11,4,2,
1965,Nate Thurmond*,PF,1395,157,1273,17,18,2,
1965,John Tresvant,PF,18,6,14,4,5,2,
1965,Jack Twyman*,SF,383,137,1156,14,5,2,
1965,Chico Vaughn,SG,173,157,870,12,2,2,
1965,Chet Walker*,SF,528,132,1042,13,7,2,
1965,Gerry Ward,SG,5,6,5,2,2,2,
1965,Ben Warley,SF,277,53,312,5,4,1,
1965,Jerry West*,PG,447,364,2292,31,6,5,
1965,Gene Wiley,C,690,105,406,5,9,1,
1965,Lenny Wilkens*,PG,365,431,1284,16,5,6,
1965,George Wilson,C,102,11,91,2,3,0,
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
1966,Jay Arnette,G,0,0,2,1,0,0,
1966,Al Attles,PG,322,225,882,11,4,3,
1966,Jim Barnes,PF,755,94,908,12,10,1,
1966,Jim Barnes,PF,72,9,110,16,10,1,
1966,Jim Barnes,PF,683,85,798,12,10,1,
1966,Dick Barnett,SG,310,259,1729,23,4,3,
1966,John Barnhill,PG,203,196,599,8,3,3,
1966,John Barnhill,PG,91,83,262,8,3,3,
1966,John Barnhill,PG,112,113,337,7,2,3,
1966,Rick Barry*,SF,850,173,2059,26,11,2,
1966,Elgin Baylor*,SF,621,224,1079,17,10,3,
1966,Zelmo Beaty*,C,1086,125,1656,21,14,2,
1966,Walt Bellamy*,C,1254,235,1820,23,16,3,
1966,Walt Bellamy*,C,102,18,152,19,13,2,
1966,Walt Bellamy*,C,1152,217,1668,23,16,3,
1966,Al Bianchi,PG,134,134,494,6,2,2,
1966,Ron Bonham,SG,35,11,204,5,1,0,
1966,Bob Boozer,PF,548,87,955,12,7,1,
1966,Gary Bradds,SF,8,1,7,2,3,0,
1966,Jesse Branson,SF,9,1,5,1,2,0,
1966,Bill Bridges,PF,951,208,1011,13,12,3,
1966,Em Bryant,PG,170,216,498,7,2,3,
1966,Bill Buntin,C,252,36,324,8,6,1,
1966,Donnie Butcher,PG,33,30,108,7,2,2,
1966,Joe Caldwell,SF,436,126,1001,13,6,2,
1966,Joe Caldwell,SF,190,65,346,10,6,2,
1966,Joe Caldwell,SF,246,61,655,14,5,1,
1966,Wilt Chamberlain*,C,1943,414,2649,34,25,5,
1966,Len Chappell,PF,127,26,246,5,3,1,
1966,Barry Clemens,SF,183,67,376,5,3,1,
1966,Mel Counts,C,432,50,562,8,6,1,
1966,Billy Cunningham*,SF,599,207,1143,14,7,3,
1966,Dave DeBusschere*,SF,916,209,1297,16,12,3,
1966,Connie Dierking,C,245,43,318,6,4,1,
1966,Johnny Egan,PG,183,273,691,9,2,4,
1966,Johnny Egan,PG,2,14,17,2,0,2,
1966,Johnny Egan,PG,181,259,674,10,3,4,
1966,Leroy Ellis,C,735,74,972,12,9,1,
1966,Wayne Embry*,C,525,81,605,8,7,1,
1966,Keith Erickson,SF,162,38,233,4,3,1,
1966,John Fairchild,SF,45,11,60,2,2,0,
1966,Mike Farmer,SF,18,6,30,3,2,1,
1966,Bob Ferry,C,334,111,481,7,5,2,
1966,Will Frazier,PF,5,1,1,1,3,1,
1966,Dave Gambee,SF,273,71,495,7,4,1,
1966,Tom Gola*,SG,289,191,326,4,4,3,
1966,Gail Goodrich*,SG,130,103,509,8,2,2,
1966,Johnny Green,PF,645,107,918,12,8,1,
1966,Johnny Green,PF,74,11,101,14,11,2,
1966,Johnny Green,PF,571,96,817,11,8,1,
1966,Si Green,G-F,11,9,32,3,1,1,
1966,Hal Greer*,SG,473,384,1819,23,6,5,
1966,Richie Guerin*,SG,314,388,1190,15,4,5,
1966,Cliff Hagan*,SF,234,164,1014,14,3,2,
1966,Happy Hairston,PF,546,44,1016,14,8,1,
1966,John Havlicek*,SF,423,210,1334,19,6,3,
1966,Tom Hawkins,SF,575,99,662,8,7,1,
1966,Walt Hazzard,SG,219,393,1098,14,3,5,
1966,Fred Hetzel,SF,290,27,383,7,5,0,
1966,Art Heyman,F-G,17,11,50,3,1,1,
1966,Art Heyman,F-G,13,7,40,4,1,1,
1966,Art Heyman,F-G,4,4,10,2,1,1,
1966,Wayne Hightower,PF,131,35,183,8,5,1,
1966,Bailey Howell*,PF,773,155,1364,17,10,2,
1966,Darrall Imhoff,C,509,113,379,5,7,1,
1966,Luke Jackson,PF,676,132,650,8,9,2,
1966,Gus Johnson*,SF,546,114,677,17,13,3,
1966,K.C. Jones*,PG,304,503,689,9,4,6,
1966,Sam Jones*,SG,347,216,1577,24,5,3,
1966,Wali Jones,PG,169,273,720,9,2,3,
1966,Red Kerr,C,586,225,781,11,8,3,
1966,Jim King,PG,204,223,570,8,3,3,
1966,Don Kojis,SF,260,42,440,7,4,1,
1966,Howard Komives,PG,281,425,1113,14,4,5,
1966,Rudy LaRusso,PF,660,165,1170,15,9,2,
1966,Kevin Loughery,SG,227,356,1349,18,3,5,
1966,Jerry Lucas*,PF,1668,213,1697,21,21,3,
1966,Jon McGlocklin,SG,133,88,368,5,2,1,
1966,McCoy McLemore,SF,488,55,592,7,6,1,
1966,Thales McReynolds,G,6,1,3,1,1,0,
1966,Tom Meschery,PF,716,81,1026,13,9,1,
1966,Eddie Miles,PG,302,221,1566,20,4,3,
1966,Jeff Mullins,SG,69,66,255,6,2,2,
1966,Willie Naulls,SF,319,72,760,11,4,1,
1966,Don Nelson*,SF,403,79,765,10,5,1,
1966,Paul Neumann,PG,208,184,951,14,3,3,
1966,Don Ohl,PG,280,290,1502,21,4,4,
1966,Bud Olsen,PF,192,20,201,3,3,0,
1966,Bud Olsen,PF,13,2,7,2,3,1,
1966,Bud Olsen,PF,179,18,194,4,3,0,
1966,Gary Phillips,SG,134,113,266,4,2,2,
1966,Ron Reed,PF,339,92,426,7,6,2,
1966,Willis Reed*,PF,883,91,1178,16,12,1,
1966,Oscar Robertson*,PG,586,847,2378,31,8,11,
1966,Guy Rodgers*,SG,421,846,1468,19,5,11,
1966,Bill Russell*,C,1779,371,1005,13,23,5,
1966,Tom Sanders*,PF,508,90,909,13,7,1,
1966,Woody Sauldsberry,PF,142,15,171,4,4,0,
1966,Ray Scott,PF,755,238,1411,18,10,3,
1966,Larry Siegfried,PG,196,165,972,14,3,2,
1966,Paul Silas,PF,236,22,175,4,5,0,
1966,Jerry Sloan*,SG,230,110,338,6,4,2,
1966,Adrian Smith,SG,287,256,1470,18,4,3,
1966,Willie Somerset,PG,15,9,45,6,2,1,
1966,Dave Stallworth,SF,492,186,1004,13,6,2,
1966,Joe Strawder,C,820,78,676,9,10,1,
1966,Tom Thacker,PG,119,61,183,4,2,1,
1966,John Thompson*,C,30,3,32,3,3,0,
1966,Rod Thorn,SG,210,145,780,11,3,2,
1966,Rod Thorn,SG,101,64,376,14,4,2,
1966,Rod Thorn,SG,109,81,404,9,2,2,
1966,Nate Thurmond*,C,1312,111,1188,16,18,2,
1966,Gene Tormohlen,C,314,60,342,5,4,1,
1966,John Tresvant,PF,364,72,484,8,6,1,
1966,John Tresvant,PF,85,10,101,7,6,1,
1966,John Tresvant,PF,279,62,383,8,6,1,
1966,Jack Twyman*,SF,168,60,543,7,2,1,
1966,Dick Van,SG,376,184,969,12,5,2,
1966,Tom Van,SG,309,205,833,11,4,3,
1966,Chico Vaughn,PG,109,140,470,8,2,3,
1966,Chico Vaughn,PG,46,36,190,10,2,2,
1966,Chico Vaughn,PG,63,104,280,8,2,3,
1966,Chet Walker*,SF,636,201,1221,15,8,3,
1966,Gerry Ward,SG,89,80,173,3,1,1,
1966,Ben Warley,SF,217,25,296,5,4,0,
1966,Ben Warley,SF,2,0,2,2,2,0,
1966,Ben Warley,SF,215,25,294,5,4,0,
1966,Bob Warlick,SG,16,10,24,2,2,1,
1966,Jim Washington,PF,353,43,384,6,5,1,
1966,Ron Watts,F,1,1,2,2,1,1,
1966,Bob Weiss,G,7,4,6,1,1,1,
1966,Jerry West*,PG,562,480,2476,31,7,6,
1966,Gene Wiley,C,490,63,289,4,7,1,
1966,Lenny Wilkens*,PG,322,429,1244,18,5,6,
1966,George Wilson,C,98,17,135,3,2,0,
